Time,Patch,ZWZW,ZWZZ,ZWMZ,ZWMM,ZWMW,ZWRW,ZWRZ,ZWMR,ZWRR,ZZZW,ZZZZ,ZZMZ,ZZMM,ZZMW,ZZRW,ZZRZ,ZZMR,ZZRR,MZZW,MZZZ,MZMZ,MZMM,MZMW,MZRW,MZRZ,MZMR,MZRR,MMZW,MMZZ,MMMZ,MMMM,MMMW,MMRW,MMRZ,MMMR,MMRR,MWZW,MWZZ,MWMZ,MWMM,MWMW,MWRW,MWRZ,MWMR,MWRR,RWZW,RWZZ,RWMZ,RWMM,RWMW,RWRW,RWRZ,RWMR,RWRR,RZZW,RZZZ,RZMZ,RZMM,RZMW,RZRW,RZRZ,RZMR,RZRR,MRZW,MRZZ,MRMZ,MRMM,MRMW,MRRW,MRRZ,MRMR,MRRR,RRZW,RRZZ,RRMZ,RRMM,RRMW,RRRW,RRRZ,RRMR,RRRR
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0.813258329074209,21.6868165767224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6868165767224,578.313183423278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,2.38180488722544,40.5933381828461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7350030848174,526.264996915183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,4.64954295625532,56.9579121433063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9588528071838,478.901147192816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,7.5618774393577,71.00098160704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3425560545373,435.800043945463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,11.0654346139011,82.9268420241174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8717260096289,396.578039990371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,15.1078704729978,92.9251761733957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5332706687623,360.886016391238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,0,19.6377627217136,101.172384632301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3152763085737,328.406274916026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0,24.6045794726509,107.832729525299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2069014408021,298.849710173584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,0,29.9587158098216,113.059310284109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1982803111299,271.953236257961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,0,35.6515878053528,116.994890845921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2804350831282,247.477444994745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,0,42.9282453246591,121.376022358807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.44519592564666,225.204474945218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,0,53.6670984034718,127.582072691963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.68512829233846,204.936072200148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,0,71.2765795933418,136.950556851114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.993466746028,186.491825702135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,0,102.712111916737,150.902604160968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36405473888548,169.707561388943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,0,164.201947869074,171.119818084919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.79128981238579,154.433880863938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,0,149.423772560858,155.719034457277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27007372927107,140.534831586184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,0,135.97563303038,141.704321356122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79576709363667,127.886696743427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,0,123.737826057646,128.950932434071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36414805520937,116.376894036519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,0,112.601421712458,117.345348515004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97137473024053,105.902973573232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,0,102.467293758337,106.784267148654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61395100451888,96.371705951641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,0,93.2452373200865,97.1736831052752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28869541411218,87.6982524159934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0,84.8531659612787,88.4280516258005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99271282684208,79.805409698554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,0,77.2163810247636,80.4695269794784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7233686724263,72.6229228256841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,0,70.2669067325349,73.2272695513254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47826549190793,66.0868597713725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,0,63.9428851266068,66.6368152917061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25522159763622,60.139042391949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,0,58.1880254652122,60.6395019154526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05225165384896,54.7265285766736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,0,52.9511031733431,55.1819467430618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86754900500255,49.801141004773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,0,48.1855038877422,50.2155715361863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69946959455232,45.3190383143434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,0,43.8488085378454,45.6961700979295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54651733104261,41.2403248660525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,0,39.9024157694393,41.5835147891159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40733077124878,37.5286956281078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,0,36.3111983501898,37.8409984580954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28067100183639,34.1511130215781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,0,33.0431904986727,34.4353085968668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16541061167111,31.0775128496361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,0,30.0693033537922,31.3361308231488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06052365662071,28.2805366931688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,0,27.3630660519509,28.5158790490654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965076527524848,25.7352883907836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,0,24.9003901072753,25.9494499346495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.878219640047612,23.4191124356131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,0,22.6593549976205,23.6139994405311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.799179872443327,21.3113923164079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,0,20.6200130478347,21.4887394908833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727253683923427,19.3933670079312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,0,18.7642118735295,19.5547529367038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.661800852370319,17.6479639772174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,0,17.0754328049119,17.7948251724005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60223877565699,16.0596472192678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1,0,15.5386438524698,16.1932909068844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548037285847861,14.6142789695337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,0,14.1401659057475,14.7358947252648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.498713930121554,13.2989938622757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1,0,12.8675509742303,13.409664199991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453829676410614,12.1020844146709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,0,11.7094713865495,12.2027944219918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412985005533659,11.0128968173505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,0,10.6556189617601,11.1045429240125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375816355035629,10.021736103789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,0,9.69661325520167,10.1051340608514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341992883082423,9.11977985444795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,0,8.82391806223352,9.19567199537478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311213523605005,8.29899966754764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1,0,8.0297654366325,8.36806151579105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283204306480554,7.55208969746835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,0,7.30708654733558,7.61493597936986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257715918897304,6.8724016246962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,0,6.64944875807538,6.92959174122657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234521486196547,6.25388547847354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1,0,6.05099836984859,6.30592848451618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213414552438858,5.69103578541092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1,0,5.50640851656222,5.73839492090972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194207242719361,5.17884256472394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1,0,5.01083175007162,5.22193937802785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176728590874618,4.71274673389878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,0,4.55985689256517,4.75196483400534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160823017695903,4.28859952784789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1,0,4.14946977223431,4.32428799894486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146348946103271,3.90262557034158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,0,3.77601749273322,3.93510207903982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133177540953977,3.55138926901084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1,0,3.43617591838723,3.58094289192624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121191562268119,3.23176423479987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,0,3.12692008573238,3.25865803165288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110284321663988,2.94090545366788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
