"Time","AA","Aa","aa"
108,22.6858146012336,15.1905685313604,123.265668649019
109,22.1037743956146,15.0490090376486,123.945355810565
110,21.5308398761374,14.904637455394,124.660356316595
111,20.9667238258204,14.7574624723284,125.409859452601
112,20.4111653323826,14.607501523619,126.193158083299
113,19.8639279717909,14.45476359779,127.009616238773
114,19.3247962825082,14.2992261968597,127.858606183851
115,18.7935837731106,14.1408835265343,128.739516571849
116,18.2701355700667,13.9797519416,129.651747579775
117,17.7543279355968,13.8158631888374,130.594700512886
118,17.2460665943131,13.6492591603384,131.567769246745
119,16.7452844246163,13.4799886179245,132.570334163146
120,16.2519386546535,13.3081043311292,133.601757131074
121,15.7660077458556,13.1336603228252,134.661376634415
122,15.2874881882809,12.9567095360132,135.748502761692
123,14.8163915836059,12.7773033873124,136.862413898524
124,14.3527424532769,12.5954950134665,138.002359240734
125,13.8965764247626,12.4113426701749,139.167565080497
126,13.4479385361423,12.2249117063985,140.357242369106
127,13.0068815476709,12.0362749015187,141.570593318756
128,12.5734641901974,11.8455110644332,142.806814365029
129,12.1477492707868,11.652701554681,144.065091889353
130,11.7298027248784,11.4579332758459,145.344601989405
131,11.3196928834727,11.2613010729338,146.64451045876
132,10.9174897061455,11.062908655534,147.963971947631
133,10.5232639576862,10.862868810784,149.302128728014
134,10.1370863294712,10.6613032889712,150.658109407868
135,9.75902649877655,10.4583423939325,152.031027601696
136,9.38915212748087,10.2541242774371,153.419980426737
137,9.02752781504431,10.0487939879736,154.824046671189
138,8.67421404555152,9.84250250048871,156.242284808607
139,8.32926619183088,9.63540611902226,157.673731680522
140,7.99273359202264,9.42766613227737,159.11740221788
141,7.66465869412378,9.21944850459487,160.572290230067
142,7.34507626268704,9.01092345219741,162.037370067825
143,7.03401264249552,8.80226478812893,163.511598684451
144,6.7314850724668,8.59364890382176,164.993917202286
145,6.43750112288705,8.38525416130996,166.483252794491
146,6.15205825206474,8.1772604721615,167.978520851316
147,5.87514346683497,7.96984886759409,169.478627274396
148,5.6067330771649,7.76320101893952,170.982470846881
149,5.34679253804939,7.55749871167664,172.488945674935
150,5.09527637219804,7.3529232694129,173.996943678781
151,4.85212816741872,7.14965492046446,175.50535707883
152,4.61728064354997,6.94787210447474,177.013080791457
153,4.39065578591346,6.74775073912174,178.519014671127
154,4.17216504498889,6.54946349998776,180.022065649569
155,3.96170960067454,6.35317913841091,181.521149850668
156,3.75918068762763,6.15906183758413,183.015194747932
157,3.56445997703901,5.9672705983033,184.503141404178
158,3.3774200095173,5.77795864166248,185.983946779078
159,3.19792467320361,5.5912728099395,187.456585990189
160,3.02582972511687,5.40735302193658,188.920054547816
161,2.86098335188404,5.22633179717149,190.373370568233
162,2.70322676449361,5.04833384325342,191.815576947587
163,2.55239482117863,4.87347570155122,193.245743478204
164,2.40831667236966,4.70186544905231,194.662968894145
165,2.27081642159466,4.53360245443189,196.066382833712
166,2.1397137962458,4.36877718559914,197.455147702526
167,2.01482482229977,4.20747106557512,198.828460412554
168,1.89596249740431,4.04975637496843,200.18555396767
169,1.78293745721416,3.89569620283143,201.525698876414
170,1.67555863024299,3.74534444746003,202.848204383441
171,1.57363387682935,3.59874586673783,204.152419519358
172,1.47697060816128,3.45593617584475,205.437733973758
173,1.38537638168311,3.31694218871782,206.703578796068
174,1.29865946961038,3.18178199817036,207.949426918026
175,1.21662939787035,3.05046519414813,209.174793499404
176,1.13909745324866,2.92299311903305,210.379236101963
177,1.06587715692789,2.79935915724004,211.562354697061
178,0.996784703005217,2.67954905554314,212.723791512977
179,0.931639360976323,2.5635412703204,213.863230729509
180,0.870263841559149,2.45130733777695,214.980398028778
181,0.812484625600238,2.3428122631007,216.075060011789
182,0.758132256153383,2.23801492445486,217.147023489829
183,0.707041594145174,2.13686848784299,218.196134658382
184,0.659052038343126,2.03932082928826,219.222278161
185,0.614007710610484,1.94531496109273,220.225376050953
186,0.571757607664418,1.85478945912564,221.205386659256
187,0.532155720751967,1.76767888821717,222.162303378675
188,0.495061124822513,1.68391422285316,223.096153373781
189,0.460338038907857,1.60342326046762,224.006996226363
190,0.427855859528296,1.52613102510661,224.894922525478
191,0.397489169020034,1.45196015958735,225.760052411486
192,0.369117720727217,1.38083130449338,226.602534083272
193,0.342626403023688,1.31266346254317,227.422542277585
194,0.317905184128658,1.24737434707892,228.220276729156
195,0.294849039659118,1.18488071363634,228.995960620078
196,0.273357864822568,1.12509867376376,229.749839026624
197,0.253336373098914,1.06794399045539,230.482177371327
198,0.234693983192617,1.01333235475576,231.193259887501
199,0.217344695957766,0.961179643288582,231.883388102762
200,0.201206962911668,0.911402156648666,232.552879347396
201,0.186203547858703,0.863916838757824,233.202065292876
202,0.172261383047548,0.818641477425303,233.831290525212
203,0.159311421182979,0.775494886470909,234.440911157365
204,0.147288484510113,0.734397069866535,235.031293484368
205,0.136131112085542,0.695269368451856,235.602812684203
206,0.125781406247531,0.658034589867305,236.15585156705
207,0.116184879197271,0.62261712241455,236.690799374966
208,0.107290300506006,0.588943033604675,237.208050633633
209,0.0990495462693446,0.556940154190936,237.708004057367
210,0.091417450540956,0.52653814850844,238.191061508186
211,0.0843516595934127,0.497668571958526,238.657627009399
212,0.0778124894746824,0.470264916481641,239.108105813871
213,0.071762787254742,0.444262644860792,239.542903526834
214,0.0661677962882295,0.419599214689633,239.96242528284
215,0.0609950257559191,0.396214092825794,240.36707497622
216,0.0562141246900823,0.374048761131166,240.757254544173
217,0.0517967606363715,0.353046714277072,241.133363301429
218,0.0477165030575699,0.333153450364299,241.495797325248
219,0.0439487115422011,0.314316455076417,241.844948889387
220,0.0404704288433517,0.296485180051757,242.181205945533
221,0.0372602787398838,0.27961101612489,242.504951650584
222,0.0342983686832198,0.263647262052867,242.81656393811
223,0.0315661971678002,0.248549089304843,243.116415132207
224,0.0290465657418524,0.234273503456727,243.404871601948
225,0.0267234955569793,0.220779302695614,243.68229345456
226,0.0245821483400043,0.20802703390225,243.949034265481
227,0.0226087516582165,0.195978946744058,244.205440843365
228,0.0207905283393725,0.184598946176506,244.451853028196
229,0.019115629900292,0.173852543717033,244.688603520636
230,0.017573073832371,0.163706807823648,244.916017740744
231,0.0161526845886205,0.154130313679579,245.134413714289
232,0.0148450381146861,0.145093092656218,245.344101984865
233,0.0136414097655424,0.136566581698958,245.545385550087
234,0.0125337254499704,0.12852357285448,245.738559820205
235,0.0115145158463806,0.120938163133591,245.923912597494
236,0.0105768735358591,0.113785704880953,246.101724074875
237,0.0097144129013632,0.107042756801788,246.272266852255
238,0.00892123264565232,0.100687035776037,246.435805969141
239,0.00819188078467816,0.0946973695722384,246.592598952155
240,0.00752132197770191,0.0890536505566863,246.742895876129
241,0.00690490706023873,0.0837367904780688,246.886939437533
242,0.00633834465098914,0.0787286763938002,247.02496503903
243,0.00581767470912652,0.0740121277914744,247.157200884057
244,0.00533924392360952,0.0695708549473243,247.28386808034
245,0.00489968282152762,0.0653894185531373,247.405180751343
246,0.00449588448781916,0.0614531906336997,247.521346154731
247,0.00412498479398882,0.0577483167684586,247.632564806911
248,0.00378434403866081,0.05426167962362,247.739030612866
249,0.00347152990791017,0.050980863794278,247.840931000476
250,0.00318430166829452,0.0478941219503396,247.938447058611
251,0.00292059551034505,0.0449903422748977,248.031753678323
252,0.00267851096495498,0.0422590171792682,248.121019696499
253,0.00245629831961549,0.0396902132750736,248.206408041428
254,0.00225234696578528,0.0372745425804827,248.288075879697
255,0.00206517461283624,0.0350031349349486,248.366174763978
256,0.00189341730799101,0.0328676115944768,248.440850781217
257,0.0017358202054569,0.030860059977562,248.512244700825
258,0.00159122903156672,0.0289730095304105,248.580492122509
259,0.00145858219616073,0.0271994086788833,248.645723623356
260,0.00133690350369021,0.0255326028337072,248.708064903928
261,0.00122529542059373,0.0239663134148891,248.767636933016
262,0.00112293285839918,0.0224946178608886,248.824556090856
263,0.0010290574347407,0.021111930587937,248.878934310562
264,0.000942972177058378,0.0198129848649063,248.930879217566
265,0.000864036636172722,0.0185928155693103,248.980494266911
266,0.000791662379205012,0.0174467427903374,249.02787887823
267,0.000725308833452232,0.0163703562452529,249.07312856828
268,0.000664479454829798,0.01535950047605,249.11633508091
269,0.000608718196372069,0.0144102607938616,249.157586514381
270,0.000557606254036455,0.0135189499393414,249.196967445941
271,0.000510759068698104,0.0126820954279913,249.234559053593
272,0.000467823564754661,0.0118964275502238,249.270439235007
273,0.000428475607190604,0.0111588679967933,249.304682723534
274,0.000392417660283918,0.0104665190811187,249.337361201288
275,0.000359376632379999,0.00981665353091288,249.368543409291
276,0.000329101892314141,0.00920670482245784,249.398295254648
277,0.000301363444139889,0.00863425803178151,249.426679914791
278,0.000275950247820915,0.0080970411779238,249.453757938756
279,0.000252668674473731,0.00759291703439967,249.479587345541
280,0.000231341085611841,0.0071198753858856,249.504223719553
281,0.000211804526643262,0.00667602570806229,249.52772030318
282,0.000193909525616779,0.00625959024944023,249.550128086499
283,0.000177518988901571,0.00586889749487202,249.571495894191
284,0.000162507186123725,0.00550237599131532,249.591870469679
285,0.000148758817274985,0.00515854851724952,249.611296556541
286,0.000136168155457083,0.00483602657796773,249.629816977242
287,0.000124638259232256,0.00453350520976132,249.647472709254
288,0.000114080249019866,0.00424975807678619,249.664302958584
289,0.000104412642413106,0.00398363284514843,249.680345230801
290,9.55607436910437e-05,0.0037340468194701,249.695635399589
291,8.74560831721991e-05,0.00349998282789492,249.710207772894
292,8.00359023984597e-05,0.00328048534216689,249.724095156733
293,7.32426814546725e-05,0.00307465682006396,249.737328916709
294,6.70237050214411e-05,0.00288165425809246,249.749939037303
295,6.13306640284095e-05,0.00270068594294775,249.761954178984
296,5.61192900242048e-05,0.00253100839082127,249.773401733229
297,5.13490196088482e-05,0.00237192346418601,249.78430787548
298,4.69826864862118e-05,0.00222277565622024,249.794697616123
299,4.2986238889376e-05,0.00208294953353446,249.804594849517
300,3.93284803117488e-05,0.0019518673283502,249.814022401179
301,3.59808316427033e-05,0.0018289866717401,249.823002073128
302,3.291711295935e-05,0.00171379845997944,249.831554687491
303,3.01133433668716e-05,0.00160582484647987,249.839700128392
304,2.75475574095403e-05,0.00150461735217581,249.847457382214
305,2.51996366939573e-05,0.00140975508761628,249.85484457625
306,2.30511554759993e-05,0.00132084308037758,249.861879015835
307,2.10852390641588e-05,0.00123751070175827,249.868577219974
308,1.92864339850946e-05,0.00115941018704617,249.874954955554
309,1.76405889429124e-05,0.00108621524395957,249.881027270155
310,1.61347456825269e-05,0.00101761974416169,249.886808523538
311,1.47570389399814e-05,0.000953336493028875,249.892312417836
312,1.34966047292899e-05,0.00089309607312048,249.897552026512
313,1.2343496276697e-05,0.00083664575705211,249.902539822114
314,1.12886069696347e-05,0.000783748485714192,249.907287702877
315,1.0323599739485e-05,0.00073418190800592,249.911807018225
316,9.440842344905e-06,0.000687737478470525,249.916108593193
317,8.63334806624624e-06,0.000644219609422379,249.92020275183
318,7.89472136183771e-06,0.000603444874350096,249.924099339608
319,7.2191080738642e-06,0.000565241259563086,249.927807744887
320,6.60114980552869e-06,0.000529447461222419,249.931336919456
321,6.03594212238004e-06,0.000495912225060892,249.934695398208
322,5.51899625933503e-06,0.000464493726252263,249.937891317961
323,5.04620404123187e-06,0.000435058987036234,249.940932435473
324,4.61380574891043e-06,0.000407483329844289,249.943826144679
325,4.21836068499382e-06,0.000381649863802387,249.946579493181
326,3.85672021390872e-06,0.000357449002610108,249.949199198018
327,3.52600306937279e-06,0.000334778011912598,249.951691660749
328,3.22357273973455e-06,0.000313540584391833,249.954062981881
329,2.94701675729566e-06,0.000293646440907725,249.956318974653
330,2.69412773219608e-06,0.000275010956117727,249.958465178225
331,2.46288598470062e-06,0.000257554807096147,249.960506870274
332,2.25144364189147e-06,0.000241203643561726,249.962449079041
333,2.05811007593175e-06,0.000225887778404338,249.964296594836
334,1.8813385713045e-06,0.000211541897279301,249.966053981038
335,1.71971411782302e-06,0.00019810478611095,249.967725584598
336,1.57194223482307e-06,0.000185519075416101,249.969315546073
337,1.43683873984837e-06,0.000173731000422952,249.970827809214
338,1.31332038238618e-06,0.000162690176022241,249.972266130118
339,1.20039626985415e-06,0.000152349385645082,249.973634085972
340,1.0971600191319e-06,0.00014266438321623,249.974935083399
341,1.00278257251713e-06,0.000133593707382632,249.976172366423
342,9.16505622106803e-07,0.000125098507265263,249.977349024086
343,8.37635591299557e-07,0.000117142379027564,249.9784679977
344,7.65538126418857e-07,0.000109691212596434,249.979532087783
345,6.99633055401715e-07,0.000102713047911853,249.980543960671
346,6.39389774113618e-07,9.61779401190024e-05,249.981506154838
347,5.84323024164389e-07,9.00578331522387e-05,249.982421086905
348,5.33989029136897e-07,8.43264411937252e-05,249.9832910574
349,4.87981958923876e-07,7.89591375209403e-05,249.98411825623
350,4.45930694418554e-07,7.39328502868475e-05,249.984904767918
351,4.07495867141902e-07,6.92259648043098e-05,249.985652576587
352,3.72367150530536e-07,6.48182319324603e-05,249.986363570717
353,3.40260781571231e-07,6.06906821873179e-05,249.987039547689
354,3.1091729326532e-07,5.6825545222026e-05,249.9876822181
355,2.84099440052862e-07,5.32061743438046e-05,249.988293209902
356,2.59590299834788e-07,4.98169757551062e-05,249.988874072325
357,2.37191537612884e-07,4.66433422256374e-05,249.989426279636
358,2.16721817033077e-07,4.36715909199242e-05,249.989951234706
359,1.98015347276568e-07,4.08889051220212e-05,249.990450272429
360,1.80920553805039e-07,3.82832796148694e-05,249.990924662961
361,1.65298862438418e-07,3.58434694867401e-05,249.99137561482
362,1.51023587134088e-07,3.35589421512336e-05,249.99180427784
363,1.3797891265182e-07,3.1419832380478e-05,249.992211745982
364,1.2605896403536e-07,2.94169001635469e-05,249.992599060011
365,1.15166955525291e-07,2.75414912137365e-05,249.992967210055
