Time,ZW,ZZ,MZ,MM,MW,RW,RZ,MR,RR,generation,threshold,rM,releases,total_females
690,249.93104203253,0,0,0,9.5006604284526e-4,0.0676600985332389,0,0,0,24,0.1,0.001,1,249.9996521971061
720,249.93159265582,0,0,0,5.4633068769417e-4,0.0676610088262515,0,0,0,25,0.1,0.001,1,249.99979999533394
750,249.931909292546,0,0,0,3.1416324454436e-4,0.0676615322863304,0,0,0,26,0.1,0.001,1,249.99988498807687
780,249.932091373237,0,0,0,1.8065666485634e-4,0.0676618332982302,0,0,0,27,0.1,0.001,1,249.99993386320008
810,249.932196077443,0,0,0,1.0388478242082e-4,0.0676620063924096,0,0,0,28,0.1,0.001,1,249.99996196861784
840,249.932256286665,0,0,0,5.97378373588098e-5,0.0676621059284859,0,0,0,29,0.1,0.001,1,249.99997813043083
870,249.932290909379,0,0,0,3.43515894450012e-5,0.067662163165654,0,0,0,30,0.1,0.001,1,249.9999874241341
900,249.932310818806,0,0,0,1.97534996924799e-5,0.0676621960792638,0,0,0,31,0.1,0.001,1,249.99999276838497
930,249.932322267506,0,0,0,1.13590285255661e-5,0.0676622150058701,0,0,0,32,0.1,0.001,1,249.9999958415404
960,249.932328850953,0,0,0,6.53188136589685e-6,0.0676622258894032,0,0,0,33,0.1,0.001,1,249.9999976087238
990,249.932332636691,0,0,0,3.75608457244224e-6,0.0676622321478563,0,0,0,34,0.1,0.001,1,249.99999862492342
1020,249.932334813638,0,0,0,2.15989392234401e-6,0.0676622357467091,0,0,0,35,0.1,0.001,1,249.99999920927863
1050,249.932336065465,0,0,0,1.24202253168704e-6,0.0676622378161887,0,0,0,36,0.1,0.001,1,249.99999954530372
1080,249.932336785316,0,0,0,7.14210979034401e-7,0.0676622390062195,0,0,0,37,0.1,0.001,1,249.9999997385332
1110,249.932337199257,0,0,0,4.10698925707252e-7,0.0676622396905332,0,0,0,38,0.1,0.001,1,249.99999984964646
1140,249.932337437289,0,0,0,2.36167759860938e-7,0.06766224008404,0,0,0,39,0.1,0.001,1,249.9999999135408
1170,249.932337574166,0,0,0,1.35805591868575e-7,0.0676622403103216,0,0,0,40,0.1,0.001,1,249.99999995028193
1200,249.932337652877,0,0,0,7.80934653073964e-8,0.0676622404404424,0,0,0,41,0.1,0.001,1,249.99999997141092
1230,249.932337698138,0,0,0,4.49067614650215e-8,0.0676622405152667,0,0,0,42,0.1,0.001,1,249.99999998356003
1260,249.932337724165,0,0,0,2.58231238243371e-8,0.0676622405582937,0,0,0,43,0.1,0.001,1,249.9999999905464
1290,249.932337739131,0,0,0,1.48492944524553e-8,0.0676622405830358,0,0,0,44,0.1,0.001,1,249.99999999456332
1320,249.932337747738,0,0,0,8.538918343411181e-9,0.0676622405972636,0,0,0,45,0.1,0.001,1,249.99999999687418
1350,249.932337752687,0,0,0,4.91020813841304e-9,0.0676622406054451,0,0,0,46,0.1,0.001,1,249.99999999820267
1380,249.932337755532,0,0,0,2.8235594945269e-9,0.0676622406101497,0,0,0,47,0.1,0.001,1,249.9999999989657
1410,249.932337757169,0,0,0,1.6236558602417701e-9,0.0676622406128551,0,0,0,48,0.1,0.001,1,249.9999999994055
1440,249.93233775811,0,0,0,9.336648856066201e-10,0.0676622406144107,0,0,0,49,0.1,0.001,1,249.9999999996581
1470,249.932337758651,0,0,0,5.36893402077263e-10,0.0676622406153053,0,0,0,50,0.1,0.001,1,249.99999999980318
1500,249.932337758962,0,0,0,3.0873446097899803e-10,0.0676622406158198,0,0,0,51,0.1,0.001,1,249.99999999988657
1530,249.932337759141,0,0,0,1.77534249865908e-10,0.0676622406161155,0,0,0,52,0.1,0.001,1,249.99999999993466
1560,249.932337759245,0,0,0,1.0208905664582401e-10,0.0676622406162857,0,0,0,53,0.1,0.001,1,249.99999999996336
1590,249.932337759304,0,0,0,5.870515404603369e-11,0.0676622406163834,0,0,0,54,0.1,0.001,1,249.99999999997908
1620,249.932337759338,0,0,0,3.37577329519558e-11,0.0676622406164398,0,0,0,55,0.1,0.001,1,249.9999999999882
1650,249.932337759357,0,0,0,1.9412001426001398e-11,0.0676622406164721,0,0,0,56,0.1,0.001,1,249.9999999999929
