Time,ZW,ZZ,MZ,MM,MW,RW,RZ,MR,RR,generation,threshold,rM,total_females
1740,249.710637698088,0,0,0,3.68887534310933e-11,0.289362301861198,0,0,0,59,0.1,0.001,249.99999999998607
1770,249.71063769811,0,0,0,2.1235102805124697e-11,0.289362301861266,0,0,0,60,0.1,0.001,249.9999999999925
1800,249.710637698122,0,0,0,1.22240398279235e-11,0.289362301861305,0,0,0,61,0.1,0.001,249.99999999999554
1830,249.710637698129,0,0,0,7.03679897789722e-12,0.289362301861328,0,0,0,62,0.1,0.001,249.99999999999736
1860,249.710637698133,0,0,0,4.05075086079329e-12,0.289362301861341,0,0,0,63,0.1,0.001,249.9999999999984
1890,249.710637698136,0,0,0,2.33182482372409e-12,0.289362301861349,0,0,0,64,0.1,0.001,249.9999999999997
1920,249.710637698137,0,0,0,1.34232076851818e-12,0.289362301861353,0,0,0,65,0.1,0.001,249.9999999999997
1950,249.710637698138,0,0,0,7.72710294213954e-13,0.289362301861355,0,0,0,66,0.1,0.001,250.0000000000001
1980,249.710637698138,0,0,0,4.44812605740533e-13,0.289362301861357,0,0,0,67,0.1,0.001,249.9999999999998
0,250,0,0,0,0,0,0,0,0,1,0.1,0,250
30,250.000322400697,0,0,0,0,0,0,0,0,2,0.1,0,250.000322400697
60,250.000090984018,0,0,0,0,0,0,0,0,3,0.1,0,250.000090984018
90,250.000018876751,0,0,0,0,0,0,0,0,4,0.1,0,250.000018876751
120,244.231406734627,0,0,0,12.0705916837678,0,0,0,0,5,0.1,0,256.3019984183948
150,229.867268738971,0,0,0,25.0259644753168,0,0,0,0,6,0.1,0,254.89323321428782
180,218.071776253797,0,0,0,33.6794373469254,0,0,0,0,7,0.1,0,251.7512136007224
210,214.791107497889,0,0,0,28.8178220880612,0,0,0,0,8,0.1,0,243.6089295859502
240,222.575513375389,0,0,0,20.981191021271002,0,0,0,0,9,0.1,0,243.55670439666
270,230.791060215641,0,0,0,14.4191149280332,0,0,0,0,10,0.1,0,245.2101751436742
300,237.334315218295,0,0,0,9.45466414961479,0,0,0,0,11,0.1,0,246.78897936790977
330,241.993887336335,0,0,0,5.95678954474012,0,0,0,0,12,0.1,0,247.95067688107514
360,245.092502033389,0,0,0,3.6395269029806,0,0,0,0,13,0.1,0,248.7320289363696
390,247.057209397318,0,0,0,2.17555923291476,0,0,0,0,14,0.1,0,249.23276863023275
420,248.261821038138,0,0,0,1.28149587479407,0,0,0,0,15,0.1,0,249.54331691293208
450,248.983558260529,0,0,0,0.747792664093803,0,0,0,0,16,0.1,0,249.7313509246228
480,249.409408915691,0,0,0,0.43383478192332,0,0,0,0,17,0.1,0,249.8432436976143
510,249.658211592091,0,0,0,0.250812887694171,0,0,0,0,18,0.1,0,249.90902447978516
540,249.802680148142,0,0,0,0.144702856479474,0,0,0,0,19,0.1,0,249.94738300462149
570,249.886250257802,0,0,0,0.0833832127608277,0,0,0,0,20,0.1,0,249.96963347056283
600,249.934482907596,0,0,0,0.0480147375387696,0,0,0,0,21,0.1,0,249.98249764513477
630,249.962282892907,0,0,0,0.027637173318687,0,0,0,0,22,0.1,0,249.9899200662257
660,249.978293313784,0,0,0,0.0159041539484041,0,0,0,0,23,0.1,0,249.99419746773242
690,249.987509667934,0,0,0,0.00915100207661941,0,0,0,0,24,0.1,0,249.9966606700106
720,249.992813603261,0,0,0,0.00526493279491009,0,0,0,0,25,0.1,0,249.9980785360559
750,249.995865496115,0,0,0,0.0030289875737013,0,0,0,0,26,0.1,0,249.9988944836887
780,249.99762140117,0,0,0,0.00174257275038454,0,0,0,0,27,0.1,0,249.99936397392037
810,249.998631607494,0,0,0,0.00100248499672087,0,0,0,0,28,0.1,0,249.9996340924907
840,249.999212781329,0,0,0,5.7671483896645e-4,0,0,0,0,29,0.1,0,249.99978949616795
870,249.999547126061,0,0,0,3.3177390986997e-4,0,0,0,0,30,0.1,0,249.99987889997087
900,249.999739470032,0,0,0,1.9086315777039e-4,0,0,0,0,31,0.1,0,249.99993033318978
930,249.999850122262,0,0,0,1.097997296149e-4,0,0,0,0,32,0.1,0,249.9999599219916
960,249.999913778406,0,0,0,6.31655132177361e-5,0,0,0,0,33,0.1,0,249.99997694391922
990,249.999950398516,0,0,0,3.6337793554101e-5,0,0,0,0,34,0.1,0,249.99998673630955
1020,249.999971465314,0,0,0,2.09043632072169e-5,0,0,0,0,35,0.1,0,249.9999923696772
1050,249.999983584601,0,0,0,1.20258353718679e-5,0,0,0,0,36,0.1,0,249.99999561043637
