Time,ZW,ZZ,MZ,MM,MW,RW,RZ,MR,RR,generation,threshold,rM,releases,total_females
1860,249.916814242068,0,0,0,7.83355320880854e-14,0.0831857579320962,0,0,0,63,0.1,0.001,1,250.00000000000017
1890,249.916814242068,0,0,0,4.5049329291632804e-14,0.0831857579320962,0,0,0,64,0.1,0.001,1,250.00000000000014
1920,249.916814242067,0,0,0,2.59070439113623e-14,0.0831857579320962,0,0,0,65,0.1,0.001,1,249.99999999999912
1950,249.916814242067,0,0,0,1.48986663015629e-14,0.0831857579320962,0,0,0,66,0.1,0.001,1,249.99999999999912
1980,249.916814242067,0,0,0,8.5679500264394e-15,0.0831857579320962,0,0,0,67,0.1,0.001,1,249.99999999999912
0,250,0,0,0,0,0,0,0,0,1,0.1,0.001,10,250
30,187.442321368681,0,0,0,53.5655701830912,0.00678027827088865,0,0,0,2,0.1,0.001,10,241.01467183004308
60,204.6558702774,0,0,0,78.2382841099848,0.0797684939363106,0,0,0,3,0.1,0.001,10,282.97392288132113
90,204.513508558767,0,0,0,87.3270558113645,0.139088707278257,0,0,0,4,0.1,0.001,10,291.97965307740975
120,198.700657959817,0,0,0,92.59264216284,0.222074368375314,0,0,0,5,0.1,0.001,10,291.5153744910323
150,192.621068703904,0,0,0,96.6715745908674,0.32437308362873,0,0,0,6,0.1,0.001,10,289.61701637840014
180,186.9487633987,0,0,0,100.163351412637,0.452915439391706,0,0,0,7,0.1,0.001,10,287.56503025072874
210,181.640252653007,0,0,0,103.294191865391,0.614255567133407,0,0,0,8,0.1,0.001,10,285.5487000855314
240,176.567426529215,0,0,0,106.181129987732,0.817545066580501,0,0,0,9,0.1,0.001,10,283.5661015835275
270,171.611045256404,0,0,0,108.9003569691,1.07481990285488,0,0,0,10,0.1,0.001,10,281.5862221283589
300,166.666510392115,0,0,0,61.5069103192924,1.40216954247879,0,0,0,11,0.1,0.001,10,229.5755902538862
330,172.695146242731,0,0,0,53.8897702377927,1.79891759389234,0,0,0,12,0.1,0.001,10,228.38383407441603
