"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,250,0,0,0,0,0,0,0,0
30,173.11985651188,0,0,0,14.1206860960933,3.31225970155276,0,0,0
60,215.415969598241,0,0,0,10.4577269360118,4.00841906861647,0,0,0
90,231.759455973238,0,0,0,6.40558047305004,5.62484221200175,0,0,0
120,230.83486922728,0,0,0,14.8813785867087,7.56702751350509,0,0,0
150,218.015452134493,0,0,0,23.6415488056352,11.3683928145793,0,0,0
180,205.789459366653,0,0,0,29.1471307533654,16.043217934843,0,0,0
210,201.420507586155,0,0,0,22.4594411715528,20.1279296389432,0,0,0
240,206.082791308423,0,0,0,15.0892742156924,23.3877128704441,0,0,0
270,210.720810604177,0,0,0,9.70567050801382,25.8280150506192,0,0,0
300,214.095026644953,0,0,0,6.09062097426823,27.447747518863,0,0,0
330,216.311977073355,0,0,0,3.75547611144972,28.4819954403114,0,0,0
360,217.708627545228,0,0,0,2.28881166708425,29.1244075307087,0,0,0
390,218.569182411881,0,0,0,1.38461815530479,29.5175777660861,0,0,0
420,219.092981442408,0,0,0,0.833765635644255,29.7559591655337,0,0,0
450,219.409517794372,0,0,0,0.500644126464773,29.8996943198721,0,0,0
480,219.599988547687,0,0,0,0.300101807608411,29.9860686372468,0,0,0
510,219.714307476327,0,0,0,0.179704218045284,30.0378681953959,0,0,0
540,219.782815053532,0,0,0,0.107541856251706,30.0688949425466,0,0,0
570,219.82383136321,0,0,0,0.064333116421839,30.0874656250457,0,0,0
600,219.848374664085,0,0,0,0.03847640503813,30.0985759885639,0,0,0
630,219.863055961632,0,0,0,0.0230089195340391,30.1052212817409,0,0,0
660,219.871836255923,0,0,0,0.0137582490033372,30.1091953144627,0,0,0
690,219.877086768475,0,0,0,0.00822638993994278,30.111571649607,0,0,0
720,219.880226288113,0,0,0,0.00491861659812517,30.1129925361121,0,0,0
750,219.882103468827,0,0,0,0.00294082517339749,30.1138421007015,0,0,0
780,219.883225843412,0,0,0,0.00175829197153032,30.1143500549913,0,0,0
810,219.883896905804,0,0,0,0.00105125994654038,30.1146537569624,0,0,0
840,219.884298127117,0,0,0,0.00062853237373231,30.1148353367268,0,0,0
870,219.884538011904,0,0,0,0.000375789147899426,30.1149439006199,0,0,0
900,219.884681435296,0,0,0,0.000224677844206001,30.1150088092205,0,0,0
930,219.88476718575,0,0,0,0.000134330899214166,30.115047616966,0,0,0
960,219.884818454455,0,0,0,8.03140251774843e-05,30.1150708194336,0,0,0
990,219.884849107102,0,0,0,4.80182956607745e-05,30.1150846917729,0,0,0
